Time of Day	Event type	Apparition Type	Image/Video/Visual Evidence	Audio Evidence	state	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree	Haunted Places Witness Count	Combined_Evidence	Witness_Count_Group	QUANTITY	TIME	FAC	ORG	LOC	EVENT
night	Unexplained Movements and Physical Manifestations	Unknown	False	False	Michigan	91.96	31.67	12.48	12	None	10+	[]	[]	['Denton Road']	[]	[]	[]
Unknown	Sounds and Noises	Female Ghost	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	[]	"[""Old Frank's Nursery & Crafts""]"	[]	[]
Unknown	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	['2 feet']	['night']	[]	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	False	True	Michigan	91.96	31.67	12.48	18	Audio Only	10+	[]	[]	[]	['The Lamplights Inn']	['Central Lake']	[]
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	[]	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	[]	['the Charlotte Jr. High']	[]	['ISS']	[]
night	Murder	Unknown	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	['night']	[]	[]	[]	[]
Unknown		Unknown	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	[]	[]	[]	[]	[]
morning	Murder	Female Ghost	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	['1:00am in the morning']	[]	[]	[]	[]
Unknown	Sounds and Noises	Several Ghosts	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	[]	[]	[]	[]
night	Ghostly Sightings	Female Ghost	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	['night']	[]	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	['the morning', 'night']	[]	[]	[]	[]
night		Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	['late at night']	['the Sunflower Bridge']	[]	[]	[]
night	Ghostly Sightings	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	['every night']	[]	[]	[]	[]
night		Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	['night']	['deer lake raquet club', 'dixie and white lake road']	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	['12:00 at night']	['Hayes and 18']	[]	[]	[]
night	Sounds and Noises	Unknown	False	True	Michigan	91.96	31.67	12.48	3	Audio Only	2-5	[]	['one night', 'the morning', 'night']	[]	[]	[]	[]
night	Ghostly Sightings	Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	[]	[]	[]	[]
Unknown		Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	['closing hours']	[]	[]	[]	[]
Unknown	Mysterious Occurrences	Orb	False	False	Michigan	91.96	31.67	12.48	1	None	1	[]	[]	['Forest Hill Road']	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	False	False	Michigan	91.96	31.67	12.48	1	None	1	[]	['night']	[]	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	['nights', 'about midnight']	['Shoefelt road']	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night		Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	[]	[]	[]	[]
night	Murder	Unknown	False	False	Michigan	91.96	31.67	12.48	8	None	6-10	['about ten feet']	['the early morning']	['Croton Dam']	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night	Murder	Several Ghosts	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	[]	[]	[]	[]
Unknown	Fire and Destruction	Unknown	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	['2 miles']	[]	['Seven Gables road', 'Seven Gables Road', 'Williamston road']	[]	[]	[]
Unknown	Mysterious Occurrences	Orb	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Female Ghost	False	True	Michigan	91.96	31.67	12.48	6	Audio Only	6-10	[]	['night']	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Unknown	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	['night', 'Overnight', 'the night']	[]	[]	[]	[]
night	Fire and Destruction	Child Ghost	True	True	Michigan	91.96	31.67	12.48	12	Both	10+	[]	['night']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	['Firestone Farm']	[]	[]	[]
evening	Violent or Tragic Deaths	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	['the evening']	[]	['Henry ford museum', 'Henry ford']	[]	[]
Unknown	Ghostly Sightings	Orb	False	True	Michigan	91.96	31.67	12.48	6	Audio Only	6-10	[]	[]	[]	['Ford', 'The Michigan Ghost Watchers']	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	[]	['The Guild']	[]	[]
night	Object and Environmental Manipulation	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	False	False	Michigan	91.96	31.67	12.48	1	None	1	[]	[]	[]	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	True	True	Michigan	91.96	31.67	12.48	1	Both	1	[]	['nighttime']	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Child Ghost	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	['the Berwyn Senior Center', 'Berwyn', 'Richardson']	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	[]	[]	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	['night']	[]	[]	[]	[]
night	Sounds and Noises	Several Ghosts	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	[]	[]	[]	[]
Unknown	Murder	Unknown	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	True	True	Michigan	91.96	31.67	12.48	4	Both	2-5	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	['7.45 at night']	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Several Ghosts	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	['Anderson']	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	True	True	Michigan	91.96	31.67	12.48	5	Both	2-5	[]	[]	[]	[]	[]	[]
night	Murder	Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	['11:00 pm']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Orb	False	False	Michigan	91.96	31.67	12.48	5	None	2-5	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Unknown	False	True	Michigan	91.96	31.67	12.48	16	Audio Only	10+	[]	['midnight', 'afternoon']	['the African Gallery', 'the American Gallery']	[]	[]	[]
night	Murder	Child Ghost	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	['only moments']	['the Drill Hall']	[]	[]	[]
Unknown	Ghostly Sightings	Female Ghost	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	[]	[]	[]	[]	[]
night		Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	['Late at night']	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Child Ghost	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	['the early morning hours', 'every morning', 'every night']	['Clara Ford Pavilion']	[]	[]	[]
Unknown	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	['the Tunnel to Canada']	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	4	Both	2-5	[]	[]	['Woodward', 'Majestic']	[]	[]	[]
