state	city	Alcohol Abuse Total Death of that State	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Rapids	4548.0	91.96	31.67	12.48
Michigan	Grand Traverse County	4548.0	91.96	31.67	12.48
Michigan	Grandville	4548.0	91.96	31.67	12.48
Michigan	Grant	4548.0	91.96	31.67	12.48
Michigan	Grayling	4548.0	91.96	31.67	12.48
Michigan	Grayling	4548.0	91.96	31.67	12.48
Michigan	Greenville	4548.0	91.96	31.67	12.48
Michigan	Greenville	4548.0	91.96	31.67	12.48
Michigan	Greenville	4548.0	91.96	31.67	12.48
Michigan	Grosse Ile	4548.0	91.96	31.67	12.48
Michigan	Grosse Isle	4548.0	91.96	31.67	12.48
Michigan	Grosse Ile	4548.0	91.96	31.67	12.48
Michigan	Grosse Pointe Shores	4548.0	91.96	31.67	12.48
Michigan	Grosse Pointe Woods	4548.0	91.96	31.67	12.48
Michigan	Gulliver	4548.0	91.96	31.67	12.48
Michigan	Hamilton	4548.0	91.96	31.67	12.48
Michigan	Hancock	4548.0	91.96	31.67	12.48
Michigan	Harrison	4548.0	91.96	31.67	12.48
Michigan	Hartford	4548.0	91.96	31.67	12.48
Michigan	Hartland	4548.0	91.96	31.67	12.48
Michigan	Hastings	4548.0	91.96	31.67	12.48
Michigan	Harrison	4548.0	91.96	31.67	12.48
Michigan	Harrison	4548.0	91.96	31.67	12.48
Michigan	Harrisville	4548.0	91.96	31.67	12.48
Michigan	Hartland	4548.0	91.96	31.67	12.48
Michigan	Hastings	4548.0	91.96	31.67	12.48
Michigan	Highland	4548.0	91.96	31.67	12.48
Michigan	Holland	4548.0	91.96	31.67	12.48
Michigan	Holly	4548.0	91.96	31.67	12.48
Michigan	Holt	4548.0	91.96	31.67	12.48
Michigan	Holt	4548.0	91.96	31.67	12.48
Michigan	Holt	4548.0	91.96	31.67	12.48
Michigan	Houghton Lake	4548.0	91.96	31.67	12.48
Michigan	Howell	4548.0	91.96	31.67	12.48
Michigan	Howell	4548.0	91.96	31.67	12.48
Michigan	Inkster	4548.0	91.96	31.67	12.48
Michigan	Interlochen	4548.0	91.96	31.67	12.48
Michigan	Ionia	4548.0	91.96	31.67	12.48
Michigan	Ionia	4548.0	91.96	31.67	12.48
Michigan	Iron River	4548.0	91.96	31.67	12.48
Michigan	Jackson	4548.0	91.96	31.67	12.48
Michigan	Jackson	4548.0	91.96	31.67	12.48
Michigan	Jackson	4548.0	91.96	31.67	12.48
Michigan	Jackson	4548.0	91.96	31.67	12.48
Michigan	Jackson	4548.0	91.96	31.67	12.48
Michigan	Kalamazoo	4548.0	91.96	31.67	12.48
Michigan	Kalamazoo	4548.0	91.96	31.67	12.48
Michigan	Kalamazoo	4548.0	91.96	31.67	12.48
Michigan	Kalamazoo	4548.0	91.96	31.67	12.48
Michigan	Kalamazoo	4548.0	91.96	31.67	12.48
Michigan	Keego Harbor	4548.0	91.96	31.67	12.48
Michigan	Kelloggsville	4548.0	91.96	31.67	12.48
Michigan	Kent County	4548.0	91.96	31.67	12.48
Michigan	Kent County	4548.0	91.96	31.67	12.48
Michigan	Kenton	4548.0	91.96	31.67	12.48
Michigan	Kentwood	4548.0	91.96	31.67	12.48
Michigan	Kewadin	4548.0	91.96	31.67	12.48
Michigan	Kingsford	4548.0	91.96	31.67	12.48
Michigan	Kingsford	4548.0	91.96	31.67	12.48
Michigan	Lake Orion	4548.0	91.96	31.67	12.48
Michigan	Lambertville	4548.0	91.96	31.67	12.48
Michigan	Lapeer	4548.0	91.96	31.67	12.48
Michigan	Lansing	4548.0	91.96	31.67	12.48
Michigan	Lincoln Park	4548.0	91.96	31.67	12.48
Michigan	Lincoln Park	4548.0	91.96	31.67	12.48
Michigan	Livonia	4548.0	91.96	31.67	12.48
Michigan	Livonia	4548.0	91.96	31.67	12.48
