Time of Day	Event type	state	Combined_Evidence	Witness_Count_Group
Unknown	Sounds and Noises	Washington	Both	2-5
night		Washington	Both	2-5
Unknown		Washington	Visual Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Washington	Audio Only	0
morning	Murder	Washington	None	0
Unknown	Violent or Tragic Deaths	Washington	None	6-10
Unknown	Unexplained Movements and Physical Manifestations	Washington	None	0
Unknown	Ghostly Sightings	Washington	Visual Only	1
Unknown	Sounds and Noises	Washington	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Washington	Audio Only	2-5
Unknown	Object and Environmental Manipulation	Washington	Both	0
Unknown		Washington	Both	0
night	Violent or Tragic Deaths	Washington	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Washington	Audio Only	0
Unknown	Ghostly Sightings	Washington	Both	1
night	Murder	Washington	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Washington	None	1
night	Ghostly Sightings	Washington	None	6-10
Unknown	Violent or Tragic Deaths	Washington	Audio Only	2-5
Unknown	Violent or Tragic Deaths	Washington	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Washington	Audio Only	6-10
night	Ghostly Sightings	Washington	Both	1
night	Ghostly Sightings	Washington	Audio Only	1
night	Ghostly Sightings	Washington	Visual Only	2-5
night		Washington	None	1
night	Ghostly Sightings	Washington	Both	0
Unknown	Sounds and Noises	Washington	Audio Only	0
night		Washington	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Washington	Audio Only	0
night	Violent or Tragic Deaths	Washington	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Washington	Both	1
night	Sounds and Noises	Washington	Both	0
night	Murder	Washington	Audio Only	1
night		Washington	Audio Only	6-10
night	Mysterious Occurrences	Washington	Audio Only	6-10
night	Murder	Washington	Audio Only	0
night	Mysterious Occurrences	Washington	Both	10+
night	Murder	Washington	Visual Only	0
Unknown	Ghostly Sightings	Washington	None	0
Unknown	Violent or Tragic Deaths	Washington	Both	6-10
afternoon	Object and Environmental Manipulation	Washington	Visual Only	1
night	Object and Environmental Manipulation	Washington	Visual Only	0
afternoon	Murder	Washington	Visual Only	2-5
Unknown		Washington	None	0
Unknown	Sounds and Noises	Washington	Both	0
night	Ghostly Sightings	Washington	Both	1
Unknown	Murder	Washington	None	0
night	Ghostly Sightings	Washington	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Washington	None	0
Unknown	Unexplained Movements and Physical Manifestations	Washington	Audio Only	0
Unknown		Washington	Both	0
Unknown	Ghostly Sightings	Washington	Audio Only	1
Unknown	Murder	Washington	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Washington	Visual Only	1
Unknown		Washington	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Washington	Visual Only	1
Unknown	Murder	Washington	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Washington	Audio Only	0
night	Ghostly Sightings	Washington	Audio Only	6-10
Unknown	Ghostly Sightings	Washington	Visual Only	0
night	Murder	Washington	Both	1
Unknown		Washington	None	0
night	Sounds and Noises	Washington	Both	2-5
Unknown	Sounds and Noises	Washington	Both	0
night	Mysterious Occurrences	Washington	Audio Only	2-5
night		Washington	Both	2-5
Unknown	Murder	Washington	Visual Only	6-10
night	Ghostly Sightings	Washington	Both	1
night	Violent or Tragic Deaths	Washington	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Washington	Both	6-10
Unknown		Washington	Audio Only	0
night	Object and Environmental Manipulation	Washington	Visual Only	1
night	Mysterious Occurrences	Washington	Audio Only	1
night	Ghostly Sightings	Washington	Audio Only	1
evening	Unexplained Movements and Physical Manifestations	Washington	Audio Only	2-5
evening	Sounds and Noises	Washington	Audio Only	6-10
night	Unexplained Movements and Physical Manifestations	Washington	Both	1
Unknown	Violent or Tragic Deaths	Washington	Audio Only	0
night	Ghostly Sightings	Washington	Visual Only	1
Unknown	Murder	Washington	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Washington	Both	0
Unknown		Washington	Audio Only	1
night		Washington	Both	0
night	Ghostly Sightings	Washington	Audio Only	1
Unknown	Ghostly Sightings	Washington	Both	1
night		Washington	Both	1
Unknown	Ghostly Sightings	Washington	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Washington	Both	6-10
night	Unexplained Movements and Physical Manifestations	Washington	None	0
Unknown	Ghostly Sightings	Washington	Both	0
night	Violent or Tragic Deaths	Washington	Both	2-5
Unknown		Washington	Audio Only	1
Unknown	Sounds and Noises	Washington	Both	0
Unknown	Ghostly Sightings	Washington	Visual Only	0
night		Washington	Audio Only	2-5
Unknown	Murder	Washington	Audio Only	2-5
night	Ghostly Sightings	Washington	Both	0
Unknown	Sounds and Noises	Washington	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Washington	Both	10+
night	Violent or Tragic Deaths	Washington	Both	1
Unknown		Washington	Visual Only	0
night		Washington	None	1
night		Washington	Both	10+
night	Sounds and Noises	Washington	Audio Only	1
night	Violent or Tragic Deaths	Washington	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Washington	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Washington	Visual Only	1
Unknown	Violent or Tragic Deaths	Illinois	Audio Only	1
night		Illinois	Visual Only	0
Unknown		Illinois	Audio Only	6-10
Unknown	Ghostly Sightings	Illinois	Audio Only	0
Unknown	Sounds and Noises	Illinois	Visual Only	1
night	Violent or Tragic Deaths	Illinois	Visual Only	1
night	Object and Environmental Manipulation	Illinois	Both	6-10
Unknown	Ghostly Sightings	Illinois	Visual Only	0
Unknown	Ghostly Sightings	Illinois	Audio Only	1
Unknown	Murder	Illinois	Visual Only	1
Unknown	Ghostly Sightings	Illinois	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	0
night	Violent or Tragic Deaths	Illinois	Both	1
night	Ghostly Sightings	Illinois	Audio Only	1
night	Violent or Tragic Deaths	Illinois	Audio Only	1
night	Violent or Tragic Deaths	Illinois	Audio Only	2-5
Unknown	Ghostly Sightings	Illinois	None	1
Unknown	Murder	Illinois	Audio Only	1
night	Violent or Tragic Deaths	Illinois	Both	1
night	Violent or Tragic Deaths	Illinois	Both	0
Unknown	Mysterious Occurrences	Illinois	Audio Only	0
night	Murder	Illinois	Both	1
night	Sounds and Noises	Illinois	Audio Only	0
Unknown		Illinois	Visual Only	2-5
night		Illinois	None	0
night	Unexplained Movements and Physical Manifestations	Illinois	Both	0
Unknown		Illinois	None	1
Unknown	Ghostly Sightings	Illinois	Visual Only	0
Unknown		Illinois	Both	0
Unknown		Illinois	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Illinois	Both	2-5
night	Murder	Illinois	None	10+
Unknown	Mysterious Occurrences	Illinois	None	6-10
night	Object and Environmental Manipulation	Illinois	Visual Only	1
Unknown	Murder	Illinois	Audio Only	1
night		Illinois	Both	0
Unknown		Indiana	Visual Only	0
night	Mysterious Occurrences	Illinois	Both	6-10
Unknown	Ghostly Sightings	Illinois	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Visual Only	0
Unknown	Ghostly Sightings	Illinois	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	0
Unknown	Ghostly Sightings	Illinois	Visual Only	1
night	Ghostly Sightings	Illinois	Audio Only	0
Unknown	Violent or Tragic Deaths	Illinois	Both	0
night	Mysterious Occurrences	Illinois	None	1
night	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	0
Unknown	Violent or Tragic Deaths	Illinois	Both	1
Unknown	Murder	Illinois	Audio Only	0
night	Murder	Illinois	Audio Only	1
night	Ghostly Sightings	Illinois	None	1
night	Violent or Tragic Deaths	Illinois	Both	1
Unknown		Illinois	Visual Only	0
night	Violent or Tragic Deaths	Illinois	Visual Only	1
Unknown	Ghostly Sightings	Illinois	Both	0
Unknown	Ghostly Sightings	Illinois	Visual Only	0
night		Illinois	Both	0
night	Violent or Tragic Deaths	Illinois	Both	0
night		Indiana	Visual Only	0
night	Ghostly Sightings	Indiana	Both	1
Unknown	Violent or Tragic Deaths	Indiana	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	6-10
Unknown		Indiana	None	2-5
Unknown		Indiana	None	0
night	Violent or Tragic Deaths	Indiana	Both	0
Unknown	Ghostly Sightings	Indiana	Audio Only	0
night	Sounds and Noises	Indiana	Both	10+
night	Sounds and Noises	Indiana	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Both	1
night		Indiana	Audio Only	1
night		Indiana	Visual Only	0
Unknown	Murder	Indiana	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Indiana	None	0
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Visual Only	0
Unknown	Ghostly Sightings	Indiana	None	0
Unknown	Unexplained Movements and Physical Manifestations	Indiana	None	0
Unknown		Indiana	Audio Only	1
night	Murder	Indiana	Both	0
night	Murder	Indiana	Both	0
night	Violent or Tragic Deaths	Illinois	Both	0
Unknown		Illinois	None	1
night	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Illinois	None	0
Unknown	Murder	Illinois	Audio Only	0
night		Illinois	Audio Only	0
night	Ghostly Sightings	Illinois	Visual Only	1
Unknown		Illinois	Both	1
night	Object and Environmental Manipulation	Illinois	Visual Only	1
Unknown	Ghostly Sightings	Illinois	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Illinois	Visual Only	0
Unknown	Ghostly Sightings	Illinois	Both	6-10
night	Object and Environmental Manipulation	Illinois	Both	0
Unknown	Violent or Tragic Deaths	Illinois	Visual Only	2-5
night	Unexplained Movements and Physical Manifestations	Illinois	Both	1
Unknown	Sounds and Noises	Illinois	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Illinois	None	0
Unknown	Ghostly Sightings	Illinois	Visual Only	1
night	Violent or Tragic Deaths	Illinois	Both	0
Unknown	Sounds and Noises	Illinois	Both	2-5
Unknown	Ghostly Sightings	Illinois	Visual Only	1
Unknown		Illinois	Audio Only	0
Unknown	Violent or Tragic Deaths	Illinois	Audio Only	1
night	Violent or Tragic Deaths	Illinois	Both	6-10
night	Violent or Tragic Deaths	Illinois	Both	1
Unknown	Mysterious Occurrences	Illinois	Both	6-10
night		Illinois	Audio Only	2-5
Unknown	Ghostly Sightings	Illinois	Audio Only	1
night	Violent or Tragic Deaths	Illinois	None	0
night	Fire and Destruction	Illinois	Both	1
Unknown	Violent or Tragic Deaths	Illinois	Audio Only	0
night	Murder	Indiana	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Visual Only	0
night	Ghostly Sightings	Indiana	Visual Only	1
night		Indiana	Visual Only	0
night	Ghostly Sightings	Indiana	Both	6-10
night	Ghostly Sightings	Indiana	Both	6-10
night	Ghostly Sightings	Indiana	Audio Only	0
Unknown	Ghostly Sightings	Indiana	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Visual Only	0
Unknown	Ghostly Sightings	Indiana	None	6-10
morning	Murder	Indiana	Both	2-5
night	Unexplained Movements and Physical Manifestations	Indiana	Both	0
Unknown		Indiana	Audio Only	0
night	Violent or Tragic Deaths	Indiana	Audio Only	0
Unknown	Murder	Indiana	Audio Only	10+
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Visual Only	0
night	Object and Environmental Manipulation	Indiana	Visual Only	1
Unknown	Mysterious Occurrences	Indiana	Audio Only	1
night	Ghostly Sightings	Indiana	Audio Only	2-5
night	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	2-5
night	Sounds and Noises	Indiana	Audio Only	1
night		Indiana	None	0
night		Indiana	Audio Only	6-10
night	Violent or Tragic Deaths	Indiana	None	1
night	Object and Environmental Manipulation	Indiana	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Both	1
night	Violent or Tragic Deaths	Indiana	Visual Only	2-5
Unknown	Violent or Tragic Deaths	Indiana	Both	1
night		Indiana	Both	1
night	Ghostly Sightings	Indiana	Audio Only	6-10
Unknown	Sounds and Noises	Illinois	Audio Only	0
night	Ghostly Sightings	Illinois	None	1
night	Violent or Tragic Deaths	Illinois	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	0
Unknown	Ghostly Sightings	Illinois	None	1
night	Ghostly Sightings	Illinois	Audio Only	2-5
night	Mysterious Occurrences	Illinois	None	6-10
Unknown	Murder	Illinois	Both	0
night	Unexplained Movements and Physical Manifestations	Illinois	Both	1
Unknown	Sounds and Noises	Illinois	Both	0
night	Ghostly Sightings	Illinois	Both	6-10
night	Mysterious Occurrences	Illinois	None	0
night	Ghostly Sightings	Illinois	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	0
night	Mysterious Occurrences	Illinois	Both	2-5
night	Object and Environmental Manipulation	Illinois	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Both	0
night	Ghostly Sightings	Illinois	None	0
Unknown	Violent or Tragic Deaths	Illinois	Audio Only	1
Unknown	Murder	Illinois	Both	1
night		Illinois	Both	1
night	Ghostly Sightings	Illinois	Audio Only	1
Unknown	Ghostly Sightings	Indiana	Visual Only	6-10
Unknown	Ghostly Sightings	Indiana	Audio Only	0
Unknown	Violent or Tragic Deaths	Indiana	Both	0
night	Unexplained Movements and Physical Manifestations	Indiana	Both	1
Unknown		Indiana	None	1
Unknown	Sounds and Noises	Indiana	Both	0
Unknown		Indiana	Visual Only	1
Unknown	Mysterious Occurrences	Indiana	Both	1
Unknown	Mysterious Occurrences	Indiana	Both	0
night		Indiana	Visual Only	0
Unknown	Ghostly Sightings	Indiana	Both	2-5
Unknown	Mysterious Occurrences	Indiana	Both	0
night	Murder	Indiana	Both	1
Unknown	Ghostly Sightings	Indiana	None	0
night		Indiana	Visual Only	0
Unknown	Sounds and Noises	Indiana	Audio Only	2-5
Unknown		Indiana	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Both	0
morning	Mysterious Occurrences	Indiana	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	0
night	Violent or Tragic Deaths	Indiana	Audio Only	0
night	Sounds and Noises	Indiana	Both	1
Unknown	Mysterious Occurrences	Indiana	Audio Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Indiana	None	10+
night	Ghostly Sightings	Indiana	Both	10+
morning	Violent or Tragic Deaths	Indiana	Both	0
night	Murder	Indiana	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Both	2-5
Unknown	Violent or Tragic Deaths	Indiana	None	10+
night	Violent or Tragic Deaths	Indiana	Audio Only	1
night		Illinois	Visual Only	2-5
Unknown	Violent or Tragic Deaths	Illinois	Visual Only	10+
night	Ghostly Sightings	Illinois	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Illinois	None	0
Unknown	Murder	Illinois	Both	0
night	Ghostly Sightings	Illinois	Audio Only	2-5
Unknown	Violent or Tragic Deaths	Illinois	Audio Only	2-5
night	Ghostly Sightings	Illinois	Visual Only	1
Unknown	Ghostly Sightings	Illinois	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Illinois	Both	0
night	Unexplained Movements and Physical Manifestations	Illinois	Visual Only	0
Unknown	Ghostly Sightings	Illinois	Visual Only	6-10
night	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	1
Unknown	Ghostly Sightings	Illinois	Audio Only	1
Unknown	Ghostly Sightings	Illinois	Audio Only	0
night	Object and Environmental Manipulation	Illinois	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Both	0
night		Illinois	Both	6-10
Unknown		Illinois	Audio Only	0
night		Illinois	Visual Only	1
Unknown		Illinois	Visual Only	0
night	Ghostly Sightings	Illinois	None	1
Unknown		Illinois	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Visual Only	1
night	Object and Environmental Manipulation	Illinois	Audio Only	0
night	Mysterious Occurrences	Illinois	Audio Only	10+
night	Unexplained Movements and Physical Manifestations	Illinois	Both	6-10
night	Murder	Indiana	Audio Only	1
night	Object and Environmental Manipulation	Indiana	Both	1
night	Violent or Tragic Deaths	Indiana	Audio Only	1
night	Fire and Destruction	Indiana	Audio Only	1
Unknown	Violent or Tragic Deaths	Indiana	Both	1
night	Object and Environmental Manipulation	Indiana	Both	6-10
night	Sounds and Noises	Indiana	Both	2-5
Unknown		Indiana	Both	2-5
night		Indiana	None	1
morning	Ghostly Sightings	Indiana	Visual Only	1
Unknown		Indiana	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Indiana	None	1
night	Ghostly Sightings	Indiana	Both	1
night	Violent or Tragic Deaths	Indiana	Both	0
Unknown	Ghostly Sightings	Indiana	Both	2-5
Unknown	Sounds and Noises	Indiana	Audio Only	0
night	Sounds and Noises	Indiana	Both	0
night	Sounds and Noises	Indiana	Both	0
night	Mysterious Occurrences	Illinois	Visual Only	1
night	Violent or Tragic Deaths	Illinois	Both	1
night	Fire and Destruction	Illinois	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Illinois	None	1
night	Sounds and Noises	Illinois	Both	0
night	Object and Environmental Manipulation	Illinois	Both	1
Unknown	Ghostly Sightings	Illinois	Audio Only	2-5
Unknown	Ghostly Sightings	Illinois	Visual Only	1
night	Violent or Tragic Deaths	Illinois	Audio Only	1
morning	Ghostly Sightings	Illinois	Audio Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Illinois	None	6-10
night	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	10+
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Visual Only	0
night	Violent or Tragic Deaths	Illinois	Visual Only	1
night		Illinois	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Both	0
Unknown	Ghostly Sightings	Illinois	Visual Only	6-10
Unknown	Violent or Tragic Deaths	Illinois	None	0
evening		Illinois	Visual Only	0
night		Illinois	None	2-5
Unknown		Illinois	Both	0
night	Sounds and Noises	Illinois	Both	1
night	Violent or Tragic Deaths	Indiana	Audio Only	1
Unknown	Violent or Tragic Deaths	Indiana	Audio Only	1
night	Sounds and Noises	Indiana	Both	0
night	Sounds and Noises	Indiana	Audio Only	0
Unknown	Murder	Indiana	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Indiana	None	1
Unknown	Sounds and Noises	Indiana	Both	0
Unknown	Violent or Tragic Deaths	Indiana	Visual Only	0
Unknown	Violent or Tragic Deaths	Indiana	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Both	0
Unknown	Violent or Tragic Deaths	Indiana	Visual Only	0
Unknown		Indiana	None	1
Unknown	Violent or Tragic Deaths	Indiana	Both	2-5
night		Indiana	None	0
Unknown	Ghostly Sightings	Indiana	Visual Only	2-5
Unknown		Indiana	Both	1
Unknown	Murder	Indiana	Visual Only	1
Unknown	Murder	Indiana	Audio Only	1
Unknown	Murder	Indiana	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	1
night	Violent or Tragic Deaths	Indiana	Both	0
night	Murder	Indiana	Visual Only	0
night	Violent or Tragic Deaths	Indiana	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Visual Only	2-5
Unknown	Mysterious Occurrences	Indiana	Both	6-10
Unknown	Ghostly Sightings	Indiana	None	1
Unknown	Violent or Tragic Deaths	Indiana	None	0
night	Violent or Tragic Deaths	Indiana	None	0
night	Object and Environmental Manipulation	Indiana	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	2-5
Unknown	Sounds and Noises	Indiana	Both	1
night	Fire and Destruction	Indiana	Audio Only	1
Unknown	Violent or Tragic Deaths	Illinois	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Illinois	None	0
Unknown	Mysterious Occurrences	Illinois	Visual Only	0
Unknown		Illinois	Visual Only	0
Unknown	Mysterious Occurrences	Illinois	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Illinois	None	10+
Unknown	Ghostly Sightings	Illinois	Both	1
night	Ghostly Sightings	Illinois	Both	0
night	Unexplained Movements and Physical Manifestations	Illinois	Both	10+
night	Object and Environmental Manipulation	Illinois	None	0
night	Sounds and Noises	Illinois	Both	1
Unknown		Illinois	None	0
Unknown	Murder	Illinois	Both	0
Unknown	Violent or Tragic Deaths	Illinois	Audio Only	0
night	Fire and Destruction	Illinois	Audio Only	1
night		Illinois	Both	0
Unknown		Illinois	Both	1
night	Violent or Tragic Deaths	Illinois	Both	1
night	Ghostly Sightings	Illinois	Audio Only	1
night	Mysterious Occurrences	Illinois	Audio Only	1
Unknown	Sounds and Noises	Illinois	Audio Only	1
night	Violent or Tragic Deaths	Illinois	Both	2-5
night	Fire and Destruction	Illinois	Visual Only	2-5
night	Object and Environmental Manipulation	Illinois	Both	10+
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	1
Unknown	Murder	Indiana	Audio Only	0
Unknown	Violent or Tragic Deaths	Indiana	Audio Only	10+
night		Indiana	Audio Only	10+
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	0
Unknown	Mysterious Occurrences	Indiana	Both	0
night	Unexplained Movements and Physical Manifestations	Indiana	Visual Only	0
night	Ghostly Sightings	Indiana	Visual Only	1
Unknown	Murder	Indiana	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Both	6-10
night	Violent or Tragic Deaths	Indiana	Both	2-5
Unknown		Indiana	None	0
Unknown	Sounds and Noises	Indiana	Both	1
Unknown	Violent or Tragic Deaths	Indiana	Visual Only	2-5
Unknown	Violent or Tragic Deaths	Indiana	Visual Only	0
night	Murder	Indiana	Visual Only	1
night		Indiana	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Both	1
Unknown	Murder	Indiana	None	0
night		Indiana	Visual Only	1
Unknown	Mysterious Occurrences	Indiana	Audio Only	0
Unknown	Violent or Tragic Deaths	Indiana	None	1
afternoon	Unexplained Movements and Physical Manifestations	Indiana	Both	1
Unknown	Violent or Tragic Deaths	Indiana	None	6-10
night		Indiana	Audio Only	0
Unknown		Indiana	None	1
Unknown	Violent or Tragic Deaths	Indiana	Both	6-10
Unknown		Indiana	Audio Only	1
night	Ghostly Sightings	Indiana	Both	0
night	Unexplained Movements and Physical Manifestations	Illinois	Both	2-5
Unknown	Ghostly Sightings	Illinois	Audio Only	1
Unknown		Illinois	Both	0
night		Illinois	Audio Only	0
Unknown	Violent or Tragic Deaths	Illinois	Visual Only	1
Unknown	Murder	Illinois	Both	0
night	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	2-5
night	Ghostly Sightings	Illinois	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Illinois	None	0
night	Unexplained Movements and Physical Manifestations	Illinois	Both	2-5
Unknown	Ghostly Sightings	Illinois	Both	6-10
Unknown	Violent or Tragic Deaths	Illinois	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Illinois	Both	1
night	Violent or Tragic Deaths	Illinois	Both	0
night	Violent or Tragic Deaths	Illinois	Visual Only	1
Unknown	Ghostly Sightings	Illinois	Visual Only	0
night		Illinois	Audio Only	0
Unknown		Illinois	None	0
Unknown		Illinois	None	1
Unknown	Ghostly Sightings	Illinois	Both	0
night	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Both	10+
Unknown	Ghostly Sightings	Illinois	Audio Only	0
night	Sounds and Noises	Illinois	Audio Only	0
night	Ghostly Sightings	Illinois	Both	0
night	Unexplained Movements and Physical Manifestations	Illinois	Visual Only	0
night		Illinois	None	0
Unknown		Illinois	Both	0
night		Illinois	Visual Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Visual Only	1
Unknown	Sounds and Noises	Illinois	Both	2-5
night	Sounds and Noises	Illinois	Audio Only	2-5
Unknown		Indiana	Both	0
night		Indiana	None	1
Unknown	Violent or Tragic Deaths	Indiana	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Both	0
Unknown		Indiana	Both	1
night	Violent or Tragic Deaths	Indiana	Visual Only	6-10
night	Mysterious Occurrences	Indiana	Audio Only	6-10
night	Unexplained Movements and Physical Manifestations	Indiana	Both	0
night	Violent or Tragic Deaths	Indiana	Both	0
Unknown		Indiana	Audio Only	0
night	Mysterious Occurrences	Indiana	Visual Only	1
Unknown	Sounds and Noises	Indiana	Both	0
night	Sounds and Noises	Indiana	Both	0
night	Unexplained Movements and Physical Manifestations	Indiana	Both	2-5
Unknown	Violent or Tragic Deaths	Indiana	Audio Only	2-5
night		Indiana	None	0
Unknown	Ghostly Sightings	Indiana	Audio Only	2-5
night		Indiana	Visual Only	10+
Unknown	Ghostly Sightings	Indiana	Both	0
Unknown	Murder	Indiana	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	0
night	Sounds and Noises	Indiana	Both	1
morning	Violent or Tragic Deaths	Indiana	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	0
Unknown		Indiana	Both	0
night	Unexplained Movements and Physical Manifestations	Indiana	Both	1
night	Violent or Tragic Deaths	Indiana	Both	1
night	Murder	Indiana	Audio Only	2-5
Unknown	Sounds and Noises	Indiana	Both	0
Unknown	Violent or Tragic Deaths	Indiana	None	1
night	Object and Environmental Manipulation	Indiana	None	6-10
night	Ghostly Sightings	Indiana	Both	2-5
Unknown	Sounds and Noises	Indiana	Both	0
night		Illinois	Audio Only	1
night	Ghostly Sightings	Illinois	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Illinois	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Both	1
night	Violent or Tragic Deaths	Illinois	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Illinois	Both	6-10
Unknown	Ghostly Sightings	Illinois	Visual Only	10+
Unknown	Sounds and Noises	Illinois	Both	0
Unknown	Murder	Illinois	Both	1
night	Ghostly Sightings	Illinois	Visual Only	1
night	Violent or Tragic Deaths	Illinois	Visual Only	1
Unknown	Object and Environmental Manipulation	Illinois	Both	1
Unknown	Violent or Tragic Deaths	Illinois	None	0
morning	Murder	Illinois	Both	1
Unknown	Ghostly Sightings	Illinois	None	1
Unknown		Illinois	Both	0
night	Murder	Illinois	Both	1
Unknown	Ghostly Sightings	Illinois	Visual Only	0
night	Murder	Illinois	Both	0
night	Mysterious Occurrences	Illinois	Both	1
night	Mysterious Occurrences	Illinois	Both	2-5
night	Object and Environmental Manipulation	Illinois	Audio Only	0
Unknown		Illinois	Visual Only	0
night	Murder	Illinois	Audio Only	0
afternoon	Ghostly Sightings	Illinois	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Illinois	Audio Only	1
night	Ghostly Sightings	Illinois	Visual Only	0
evening	Murder	Illinois	Both	1
Unknown	Violent or Tragic Deaths	Illinois	Both	2-5
night	Mysterious Occurrences	Illinois	None	1
Unknown	Sounds and Noises	Indiana	Both	1
Unknown	Ghostly Sightings	Indiana	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Indiana	Visual Only	0
Unknown	Sounds and Noises	Indiana	Audio Only	1
Unknown	Mysterious Occurrences	Indiana	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Indiana	Audio Only	1
night	Sounds and Noises	Indiana	Audio Only	0
